car_model,price,year_model,kms
Kia Rio Emotion  AT,$59.800.000,2020,52.000
Kia Rio Ub Ex Sedan At Mod 2015,$43.900.000,2015,103.700
Kia Rio 1.4 Vibrant Mt,$68.900.000,2023,25.100
Kia Rio Spice 2014,$41.990.000,2014,44.900
Kia Rio 1.4 Vibrant Mt,$63.000.000,2022,25.802
Kia Rio 1.4 Vibrant,$66.900.000,2022,27.000
Kia Rio vibrat 1.4,$72.000.000,2023,29.000
Kia Rio 1.4 4 p Automática,$47.500.000,2017,153.000
Kia Rio 1.4 Vibrant At,$62.900.000,2022,30.000
Kia Rio 1.4 Vibrant At,$66.900.000,2022,40.000
Kia Rio 1.4 Vibrant,$68.900.000,2023,31.500
Kia Rio 1.4 5 p,$43.000.000,2014,89.000
Kia Rio Ub Ex 2018,$51.900.000,2018,102.000
Kia Rio 1.4 Vibrant At,$59.900.000,2021,18.600
Kia Rio Mt 1250cc Aa Fe,$35.900.000,2014,97.000
Kia Rio 1.4 Zenith Hb 4 p,$61.500.0002% OFF,2020,77.949
Kia Rio Xcite 2012,$30.900.000,2012,125.000
Kia Rio 1.4 Vibrant Mt,$64.990.000,2022,33.189
Kia Rio 1.4 Zenith 2018,$56.000.000,2018,24.800
Kia Rio VIBRANT,$65.900.000,2023,29.000
Kia Rio 1.2 4 p,$38.900.000,2015,176.343
Kia Rio zenith 1.4,$77.000.000,2023,37.800
Kia Rio Hb 1.4 MT,$65.900.000,2023,37.730
Kia Rio 1.4 Vibrant Mt,$65.000.000,2020,42.800
Kia Rio 1.4 Vibrant Mt,$55.900.000,2018,65.897
Kia Rio 1.4 Vibrant Hb 5 p,$77.990.000,2023,1.800
Kia Rio Vibrant 1.4,$75.000.000,2023,10.300
Kia Rio Emotion 1.4,$68.000.000,2022,24.000
Kia Rio 1.4 Vibrant Mt,$72.900.000,2022,28.321
Kia Rio 1.25 5 p,$47.900.000,2017,96.434
Kia Rio,$28.900.000,2011,159.000
Kia Rio R,$36.900.000,2014,137.000
Kia Rio Spice R 1.4,$38.900.000,2015,71.000
Kia Rio 1.4,$32.900.000,2013,115.000
Kia Rio ,$31.500.000,2012,108.000
Kia Rio 1.4 4 p,$47.900.000,2016,80.900
Kia Rio 1.4,$57.500.0002% OFF,2018,92.200
Kia Rio 1.4 Vibrant At,$62.500.000,2022,26.900
Kia Rio 1.4 Vibrant Hb 5 p,$63.500.0002% OFF,2022,32.310
Kia Rio 2018,$48.800.000,2018,62.000
Kia Rio 1.4 5 p,$44.900.000,2014,91.000
Kia Rio 1.25 4 p,$45.990.000,2016,79.000
Kia Rio 1.25,$43.900.000,2015,75.900
Kia CERATO PRO 1.6l,$51.900.000,2016,125.300
Kia Rio 1.5 Stylus,$25.900.000,2011,62.000
Kia Rio,$37.000.000,2013,118.600
Kia Rio zenith,$66.990.000,2021,66.000
Kia Rio Spice 1.2,$41.000.000,2015,97.600
Kia Rio 1.4 Vibrant Mt,$52.500.000,2019,52.200
Kia Rio Vibrant  mecánico,$75.490.000,2024,0
Kia KIA RIO ZENITH KIA RIO ZENITH AX,$75.500.000,2023,16.000
Kia Rio Spice R Automatico 2016,$50.900.000,2016,75.000
Kia Rio 1.4 Vibrant Mt,$50.900.000,2019,56.000
Kia Rio 1.4 Vibrant Hb 4 p,$62.900.000,2022,42.500
Kia Rio 1.4 Vibrant At,$75.900.000,2024,2.600
Kia Rio 1.4 Automático,$49.800.000,2016,50.800
Kia Rio 1.25 5 p,$41.900.000,2016,72.500
Kia Rio Spice 1.2,$39.700.000,2015,128.000
Kia Rio 1.4 Vibrant Hb 5 p,$57.900.000,2020,29.000
Kia Rio 1.4 4 p Automática,$51.000.000,2017,45.800
Kia Rio 1.2 5 p,$38.500.000,2014,95.000
Kia Rio 1.4 Zenith Hb 4 p,$76.000.000,2022,6.300
Kia Rio R 1.400 Automático R,$46.500.000,2017,93.000
Kia Rio 1.25 5 p,$44.900.000,2017,30.835
Kia Rio Spice 1.2,$38.900.000,2015,116.000
Kia Rio Vibrant Sedan 1.4 At,$61.000.000,2021,32.600
Kia Rio Hb,$27.500.000,2007,104.000
Kia Rio 1.4 Vibrant Hb 5 p,$63.900.000,2023,30.000
Kia Rio 1.4 Vibrant Mt,$49.900.000,2018,75.000
Kia Rio 1.4 Vibrant At,$68.900.000,2023,23.000
Kia Rio 1.4 Vibrant Mt,$54.900.000,2019,29.700
Kia Rio 1.4 Vibrant At,$69.000.000,2023,22.000
Kia Rio 1.4 Vibrant Mt,$64.900.000,2023,28.900
Kia Rio 1.4 4 p,$49.500.000,2016,46.000
Kia Rio 1.4 4 p,$39.500.000,2014,129.000
Kia Rio 1.4 Zenith Hb 5 p,$60.000.000,2020,82.949
Kia Rio 1.250 UB EX,$43.000.000,2015,78.500
Kia Rio 1.4,$38.900.000,2013,111.158
Kia Rio 1.5 Stylus,$26.000.000,2014,103.000
Kia Rio 1.4 VIBRANT HB AT,$65.900.000,2023,43.900
Kia Rio R 1.25,$45.000.000,2017,60.000
Kia Rio Sedan Automátic,$62.000.000,2021,38.000
Kia Rio 1.4 4 p,$40.900.000,2013,86.850
Kia Rio 1.4 5 p 109 hp,$33.990.000,2012,102.000
Kia Rio 1.4 4 p,$37.000.000,2013,95.000
Kia Rio 1.4,$55.700.000,2018,64.500
Kia Rio Spice 2017,$44.000.000,2017,96.094
Kia Rio 1.4 5 p,$52.000.000,2016,71.000
Kia Rio 1.5 Stylus,$27.900.000,2015,75.000
Kia Rio Ubx Mec 2016,$41.000.000,2016,100.600
Kia Rio Ubx Sd At - 2016,$53.900.000,2016,45.010
Kia Rio 1.2 5 p,$39.900.000,2014,115.729
Kia Rio Sedán Ub Ex,$42.900.000,2016,102.000
