car_model,price,year_model,kms
Kia Rio Sedán Ub Ex ,$42.500.000,2015,136.468
Kia Rio 1.2 5 p,$40.800.000,2014,82.500
Kia Rio Spice R Summa 1.2,$49.000.000,2017,63.000
Kia Rio 1.4 4 p,$38.000.000,2013,133.000
Kia Rio 1.4 4 p,$40.000.000,2013,113.808
Kia Rio 1.4 Vibrant At,$73.000.000,2023,20.800
Kia Rio R Full,$48.000.000,2018,88.000
Kia Rio 1.5 Stylus,$23.000.000,2012,100.500
Kia Rio Spice Space,$39.000.000,2013,100.000
Kia Rio 1.2 4 p,$40.000.000,2015,84.000
Kia Rio 1.4 Zenith 2020 Version De Lujo,$64.900.000,2020,49.000
Kia Rio 1.5 Stylus,$23.900.000,2014,99.000
Kia Rio 1.4 Vibrant At,$60.000.000,2019,53.250
Kia Rio 1.2 4 p,$42.500.000,2015,85.000
Kia Rio Spice 1.4,$43.500.000,2015,96.000
Kia Rio 1.4 Zenith Hb 4 p,$68.000.000,2022,31.000
Kia Rio 1.4 4 p,$32.000.000,2012,96.000
Kia Rio Sedán Ub,$41.000.000,2015,88.000
Kia Rio 1.25 4 p,$42.000.000,2016,98.000
Kia Rio Spice B,$40.000.000,2014,118.000
Kia Rio 2018 Hatch Back,$61.000.000,2018,38.000
Kia Rio 1.4 Vibrant Mt,$46.500.000,2018,39.000
Kia Rio Spice 1.2,$43.500.000,2015,86.000
Kia Rio 1.4 4 p 109 hp,$36.000.000,2012,173.000
Kia Rio 1.400 C.c,$38.500.000,2013,123.110
Kia Rio 1.2 5 p,$36.500.000,2014,134.000
Kia Rio R Rio Zenith,$62.000.000,2021,42.000
Kia Rio Sedán Ub Ex,$39.990.000,2015,86.000
Kia Rio 1.25 5 p,$43.800.000,2016,75.000
Kia Rio 1.4 5 p,$27.000.000,2011,121.500
Kia Rio Spice Rio Spice R Summa,$49.900.000,2017,76.000
Kia Rio R Rio R,$50.000.000,2018,71.153
Kia Rio 1.4 5 p,$23.500.000,2006,240.000
Kia Rio 1.4 Vibrant Hb 5 p,$57.000.000,2020,64.827
Kia Rio 1.5 Stylus 4 p,$22.000.000,2009,160.000
Kia Rio 1.25 4 p,$47.990.000,2016,64.000
Kia Rio 1.4 Vibrant Hb 4 p,$63.900.000,2022,22.000
Kia Rio Stylus  2014,$57.000.000,2014,700.000
Kia Rio 1.4 Vibrant Hb 5 p,$65.000.000,2022,15.500
Kia Rio 1.25 4 p,$45.000.000,2016,50.000
Kia Rio 1.4 4 p,$39.000.000,2013,81.000
Kia Rio 1.4 5 p,$30.000.000,2010,124.000
Kia Rio Sedán Kia Rio Zenith,$65.000.000,2020,35.000
Kia Rio R 1.25,$45.500.000,2017,50.000
Kia Rio 1.4 5 p,$49.500.000,2016,82.000
Kia Rio 1.6 4 p,$26.800.000,2008,160.000
Kia Rio R 1.25,$47.500.000,2017,72.000
Kia Rio 1.25,$41.000.000,2015,98.000
Kia Rio Sedán Ub Ex,$45.000.000,2015,124.000
Kia Rio 1.5 Stylus,$26.000.000,2015,67.000
Kia Rio 1.5 Stylus,$25.000.000,2016,73.500
Kia Rio 1.4 Vibrant At,$64.700.000,2021,37.800
Kia Rio 1.4 4 p,$25.900.000,2009,166.000
Kia Rio 1.4 Vibrant At,$54.000.000,2018,67.000
Kia Rio 1.25,$46.000.000,2017,67.500
Kia Rio 1.4 Emotion Hb,$64.000.000,2023,23.800
Kia Rio 1.6 4 p,$29.900.000,2011,104.000
Kia Rio 1.25,$49.000.000,2017,96.200
Kia Rio 1.25 5 p,$49.500.000,2017,69.000
Kia Rio 1.4 Zenith Hb 5 p,$72.000.000,2021,22.500
Kia Rio 1.5 Stylus 4 p,$20.000.000,2009,230.000
Kia 2023 Kia Rio Bibrat 2023,$75.000.000,2023,1
Kia Rio 1.4 5 p,$41.500.000,2014,67.000
Kia Rio 1.4 4 p,$30.000.000,2012,112.000
Kia Rio 1.4 Vibrant Hb 4 p,$71.900.000,2022,18.208
Kia Rio Spice R Full Equipo,$47.700.000,2016,77.000
Kia Rio Vibrant,$56.000.000,2018,75.000
Kia Rio 1.4 Vibrant Hb 5 p,$61.900.000,2022,24.000
Kia Rio Spice 1.2,$41.000.000,2015,115.000
Kia Rio 1.25,$39.500.000,2015,120.596
Kia Rio Stylus 1.5,$82.000.000,2013,1
Kia Rio 1.4 Zenith Aut,$82.000.000,2024,7.200
Kia Rio 1.6 5 p,$26.800.000,2008,155.580
Kia Rio Stylus Ls,$22.500.000,2011,129.680
Kia Rio 1.4 Vibrant Hb 5 p,$62.000.000,2020,28.500
Kia Rio Sedán Vibrant Automático ,$61.500.000,2021,32.000
Kia Rio 1.4 Vibrant Mt,$59.800.000,2021,44.000
Kia Rio 1.2 5 p,$38.000.000,2014,92.600
Kia Rio Sedán Vibrant,$55.900.000,2020,51.000
Kia Rio Vibrant 2024 Automatico 3200 Km,$74.000.000,2024,3.200
Kia Rio 1.5 Stylus,$23.000.000,2013,78.000
Kia Rio Spice Río Spice,$38.800.000,2014,110
Kia Rio 1.4,$25.900.000,2010,135.400
Kia Rio 1.25,$37.900.000,2015,139.000
Kia Rio 1.2 4 p,$43.000.000,2015,119.000
Kia Rio Spice 1.2,$39.000.000,2015,87.000
Kia Rio 1.4 Vibrant At,$60.500.000,2020,44.000
Kia Rio 1.2 4 p,$45.000.000,2015,94.000
Kia Rio Spice 1.2,$38.000.000,2015,83.300
Kia Rio 1.4 Vibrant Hb 5 p,$68.900.000,2023,15.000
Kia Rio 1.4 Vibrant Hb 4 p,$61.000.000,2022,31.000
Kia Rio 1.4 4 p,$38.000.000,2013,64.000
Kia Rio 1.4 4 p,$46.900.000,2016,74.400
Kia Rio Sedán Ubx 2015,$39.000.000,2015,155.000
Kia Rio Spice R 1.4 2016 Automático ,$49.800.000,2016,98.000
Kia Rio 1.4,$63.000.000,2021,42.000
Kia Rio 1.4 Vibrant Mt,$63.000.000,2023,15.600
Kia Rio Sedán Sedan,$49.000.000,2018,90.800
Kia Rio Spice Kia Rio Spice,$39.800.000,2014,104.500
Kia Rio 1.4 4 p,$26.500.000,2012,164.000
Kia Rio 1.4 5 p,$36.000.000,2014,160.000
Kia Rio 1.6 5 p,$30.000.000,2010,59.000
Kia Rio 1.4 5 p,$38.000.000,2013,134.000
Kia Rio 1.4,$52.000.000,2018,61.000
Kia Rio 1.25,$41.000.000,2015,124.000
Kia Rio 1.4,$51.000.000,2018,58.000
Kia Rio 1.4 4 p,$28.000.000,2012,178.000
Kia Rio 1.6 5 p,$23.000.000,2008,138.000
Kia Rio 1.4 5 p,$43.500.000,2014,48.000
Kia Rio 1.25,$43.500.000,2015,99.000
Kia Rio 1.4 4 p,$29.500.000,2011,141.000
Kia Rio Spice R 1.2,$50.000.000,2017,49.000
Kia Rio Spice Hatchback,$43.000.000,2013,78.000
Kia Rio Spice Modelo 2015,$41.500.000,2015,54.260
Kia Rio Spice 1.2,$43.000.000,2015,14.000
Kia Rio 1.4 Vibrant Mt,$65.000.000,2023,12.700
Kia Rio Sedan,$57.000.000,2020,33.000
Kia Rio 1.2 4 p,$44.000.000,2017,85.000
Kia Rio 1.2 4 p,$57.000.000,2017,12.000
Kia Rio 1.2 4 p,$41.000.000,2015,139.000
Kia Rio 1.25,$47.500.000,2017,76.000
Kia Rio 1.4 Vibrant Hb 5 p,$71.000.000,2023,9.204
Kia Rio 1.2,$45.000.000,2016,96.000
Kia Rio 1.5 Stylus,$52.000.000,2012,680.000
Kia Rio 1.4,$64.000.000,2018,58.000
Kia Rio 1.25,$48.500.000,2018,69.000
Kia Rio Spice 1.2,$46.900.000,2015,47.000
Kia Rio 1.4,$63.000.000,2018,10.000
Kia Rio 1.5 Stylus,$28.000.000,2015,118.000
Kia Rio 1.25,$48.000.000,2017,75.350
Kia Rio Spice Kia Spice 1400,$51.000.000,2018,52.000
Kia Rio 1.4 Vibrant Hb 4 p,$66.000.000,2022,22.929
Kia Rio 1.5 Stylus,$23.500.000,2011,169.500
Kia Rio 1.5 Stylus,$24.500.000,2015,120.000
Kia Rio 1.25,$41.000.000,2015,46.800
Kia Rio Spice 1.25,$44.600.000,2016,49.720
Kia Rio 1.25 5 p,$45.900.000,2017,71.000
Kia Rio 1.4 Zenith Hb 5 p,$62.000.000,2019,46.000
Kia Rio 1.4,$52.000.000,2018,51.474
Kia Rio Spice 1.4,$38.500.000,2015,90.000
Kia Rio Spice R Summa 1.2,$55.500.000,2017,66.000
Kia Rio 1.25 5 p,$48.000.000,2017,71.500
Kia Rio 1.4,$76.000.000,2023,15.700
Kia Rio 1.4 4 p,$30.000.000,2012,108.000
Kia Rio 1.25,$42.000.000,2015,115.925
Kia Rio 1.2 4 p,$36.000.000,2015,115.000
Kia Rio 1.25,$42.000.000,2015,91.000
Kia Rio 1.4 5 p,$28.300.000,2010,97.000
Kia Rio 1.25,$39.000.000,2015,46.000
Kia Rio 1.25 5 p,$45.000.000,2016,78.000
Kia Rio 1.4 4 p,$39.500.000,2014,80.000
Kia Rio 1.4 Sc Hb,$49.000.000,2018,74.000
Kia Rio 1.4 4 p,$25.000.000,2010,150.000
Kia Rio 1.5 Stylus,$23.500.000,2015,207.000
Kia Rio 1.6 5 p,$23.500.000,2009,170.000
Kia Rio 1.4 Zenith Hb 4 p,$76.900.000,2023,27.500
Kia Rio 1.2 4 p,$46.000.000,2015,67.725
Kia Rio 1.5 Stylus,$24.000.000,2011,133.000
Kia Rio Spice R 1.4,$49.000.000,2017,84.000
Kia Rio Spice 1.2,$37.500.000,2015,136.000
Kia Rio 1.4 Vibrant Hb 5 p,$52.000.000,2020,76.700
Kia Rio 1.4 Zenith Hb 4 p,$73.000.000,2021,14.700
Kia Rio 1.5 Stylus,$30.000.000,2014,111.111
Kia Rio 1.4,$51.000.000,2018,53.500
Kia Rio 1.4 4 p,$33.000.000,2013,184.000
Kia Rio 1.4,$64.000.000,2021,42.000
Kia Rio 1.4 Vibrant Mt,$56.500.000,2018,63.000
Kia Rio 1.5 Stylus,$18.800.000,2010,170.000
Kia Rio 1.4,$64.000.000,2021,23.000
Kia Rio 1.4,$55.000.000,2020,54.000
Kia Rio Sedán Vibran,$53.000.000,2022,38.000
Kia Rio 1.4 Vibrant At,$63.000.000,2021,65.000
Kia Rio 1.5 Stylus,$21.000.000,2010,153.000
Kia Rio Ebex,$34.000.000,2015,92.000
Kia Rio Ub Ex 2014,$37.900.000,2014,123.800
Kia Rio 1.4 Emotion Sedan,$58.700.000,2022,11.000
Kia Rio Spice R 1.25 ,$33.500.000,2016,65.000
